Agent Venom,Spider Friends,Tech,Instinct/Strength,Instinct,Strength,SW2
Agent X-13,SHIELD,Range,Tech,Covert,Instinct,CA
Amadeus Cho,Champions,Instinct,Tech [Strength],Tech,Tech,WWH
Angel,X-Men,Covert,Strength,Instinct,Strength,DC
Angel Noir,X-Men,Instinct,Strength,Instinct,Covert,LN
Ant-Man,Avengers,Tech,Tech,Strength,Tech,AM
Apocalyptic Kitty Pryde,X-Men,Covert,Tech,Covert/Tech,Covert,SW1
Arkon the Magnificent,None,Covert/Strength,Range,Instinct,Instinct,SW2
Aurora & Northstar,X-Men,Covert,Range/Strength,Range,Instinct,XM
Banshee,X-Men,Covert,Range,Range,Range,XM
Beast,Illuminati,Strength/Tech,Strength/Tech,Strength/Tech,Strength/Tech,SW2
Beast,X-Men,Tech,Strength,Tech,Tech,XM
Bishop,X-Men,Range,Covert,Range,Tech,DC
Black Bolt,Illuminati,Range,Covert/Range,Strength,Range,SW1
Black Cat,Spider Friends,Covert,Covert,Instinct,Covert,PtTR
Black Knight,Avengers,Instinct,Strength,Covert,Instinct,AM
Black Panther,Illuminati,Covert/Instinct,Strength/Tech,Covert/Strength,Instinct/Tech,SW1
Black Swan,Cabal,Range,Instinct,Instinct/Range,Covert,SW2
Black Widow,Avengers,Tech,Covert,Covert,Covert,B
Blade,Marvel Knights,Covert,Strength,Tech,Instinct,DC
"Bob, Agent of Hydra",Hydra,Tech,Covert,Covert,Covert,DP
Bruce Banner,Avengers,Tech,Tech [Strength],Tech,Tech,WWH
Bullseye,Crime Syndicate,Instinct,Range,Covert,Range,V
Cable,X-Force,Tech,Range,Covert,Range,DC
Caiera,Warbound,Covert,Covert,Strength,Instinct [Strength],WWH
Cannonball,X-Men,Strength,Instinct,Strength,Strength,XM
Captain America,Avengers,Instinct,Strength,Tech,Covert,B
Captain America (1941),Avengers,Strength,Tech,Covert,Instinct,CA
Captain America (Falcon),Avengers,Instinct,Range,Tech,Covert,CA
"Captain America, Secret Avenger",Avengers,Covert,Instinct/Strength,Tech,Range,CW
Captain Britain,Illuminati,Covert,Strength,Covert/Strength,Strength,SW2
Captain Marvel,Avengers,Range,Range/Strength,Strength,Range,SW1
Carnage,Venomverse,Strength,Instinct,Covert,Covert,VNM
Cloak & Dagger,Avengers,Covert/Range,Covert/Range,Covert/Range,Range,CW
Colossus,X-Force,Strength,Strength,Covert,Strength,DC
Colossus & Wolverine,X-Men,Strength,Instinct/Strength,Instinct,Strength,XM
Corvus Glaive,Cabal,Instinct,Instinct/Strength,Strength,Tech,SW2
Cyclops,X-Men,Strength,Range,Range,Range,B
Daredevil,Avengers,Instinct,Covert,Instinct/Strength,Covert,CW
Daredevil,Marvel Knights,Strength,Instinct,Covert,Instinct,DC
Daredevil Noir,Marvel Knights,Covert,Instinct,Covert,Instinct,LN
Dazzler,X-Men,Range,Instinct,Tech,Range,XM
Deadpool,None,Tech,Covert,Instinct,Instinct,B
Deadpool,Mercs for Money,Instinct,Tech,Covert,Strength,DP
Domino,X-Force,Tech,Instinct,Tech,Covert,DC
Dr. Octopus,Sinister Six,Tech,Tech,Strength,Tech,V
Dr. Punisher,Marvel Knights,Tech,Range/Tech,Range,Range,SW2
Dr. Strange,Illuminati,Range,Instinct/Range,Instinct,Covert,SW1
Drax the Destroyer,Guardians,Instinct,Instinct,Strength,Instinct,GotG
Electro,Sinister Six,Range,Range,Instinct,Range,V
Elektra,Marvel Knights,Covert,Instinct,Instinct,Instinct,DC
Elsa Bloodstone,SHIELD,Instinct,Covert/Tech,Range,Strength,SW2
Emma Frost,X-Men,Range,Covert,Instinct,Strength,B
Enchantress,Foes of Asgard,Range,Covert,Covert,Covert,V
Falcon,Avengers,Tech,Instinct/Range,Range,Instinct,CW
Forge,X-Force,Tech,Tech,Tech,Tech,DC
Gambit,X-Men,Covert,Range,Instinct,Instinct,B
Gamora,Guardians,Covert,Instinct,Covert,Covert,GotG
Ghost Rider,Marvel Knights,Tech,Range,Strength,Range,DC
Gladiator Hulk,Warbound,Instinct [Strength],Strength,Strength,Strength,WWH
Goliath,Avengers,Tech,Strength/Tech,Strength,Strength,CW
Green Goblin,Sinister Six,Tech,Tech,Instinct,Tech,V
Greithoth,Foes of Asgard,Instinct,Covert,Strength,Covert,FI
Groot,Guardians,Strength,Strength,Covert,Strength,GotG
Gwenpool,Champions,Covert,Instinct,Instinct,Instinct,C
Happy Hogan,,Instinct,Instinct,Tech,Instinct,SH
Havok,X-Men,Range,Range,Range,Tech,XM
Hawkeye,Avengers,Instinct,Tech,Tech,Tech,B
Hercules,Avengers,Instinct,Strength/Tech,Strength,Strength,CW
High Tech Spiderman,Spider Friends,Covert,Tech,Tech,Tech,SH
Hiroim,Warbound,Covert,Covert [Strength],Covert,Instinct,WWH
Howard the Duck,None,Instinct,Covert,Instinct,Tech,D
Hulk,Avengers,Strength,Instinct,Strength,Strength,B
Hulkbuster Iron Man,Avengers,Tech,Strength,Tech [Tech],Tech,WWH
Hulkling,Avengers,Strength,Covert/Strength,Covert,Covert,CW
Human Torch,Fantastic Four,Range,Instinct,Range,Range,F4
Iceman,X-Men,Range,Range,Strength,Range,DC
Invisible Woman,Fantastic Four,Covert,Range,Covert,Covert,F4
Iron Fist,Marvel Knights,Instinct,Strength,Strength,Strength,DC
Iron Man,Avengers,Range,Tech,Tech,Tech,B
Iron Man Noir,Avengers,Tech,Range,Tech,Tech,LN
Jean Grey,X-Men,Range,Covert,Covert,Range,DC
Jessica Jones,Marvel Knights,Strength,Covert,Strength,Covert,D
Jocasta,Avengers,Tech,Range,Tech,Range,AM
"Joe Fixit, Grey Hulk",Crime Syndicate,Strength,Covert,Strength [Instinct],Covert,WWH
Jubilee,X-Men,Range,Covert,Instinct,Covert,XM
Juggernaut,Brotherhood,Strength,Strength,Strength,Strength,V
Kingpin,Crime Syndicate,Strength,Covert,Tech,Strength,V
Kitty Pryde,X-Men,Instinct,Covert,Tech,Range,XM
Korg,Warbound,Strength,Strength,Strength [Covert],Strength,WWH
Kraven,Sinister Six,Instinct,Covert,Strength,Instinct,V
Kuurth,Foes of Asgard,Range,Strength,Strength,Strength,FI
Lady Thor,Avengers,Range,Strength,Range/Strength,Strength,SW1
Legion,X-Men,Covert/Strength,Range/Tech,Instinct/Tech,Covert,XM
Loki,Foes of Asgard,Range,Covert,Covert,Covert,V
Longshot,X-Men,Tech,Instinct,Covert,Tech,XM
Luke Cage,Avengers,Strength,Instinct/Strength,Instinct,Strength,CW
Luke Cage Noir,Marvel Knights,Strength,Covert,Strength,Strength,LN
Magik,X-Men,Range,Covert,Covert/Range,Covert,SW1
Magneto,Brotherhood,Strength,Range,Range,Range,V
Man-Thing,None,Strength,Instinct,Covert,Strength,D
Maximus,Cabal,Tech,Covert,Covert/Tech,Tech,SW1
Miek the Unhived,Warbound,Instinct,Instinct,Instinct,Covert [Strength],WWH
Moon Knight,Marvel Knights,Tech,Instinct,Tech,Instinct,PtTR
Mr. Fantastic,Fantastic Four,Tech,Tech,Instinct,Tech,F4
Ms. America,Avengers,Strength,Range,Strength,Covert,D
Ms. Marvel,Champions,Covert,Strength,Covert,Strength,C
Mysterio,Sinister Six,Range,Covert,Tech,Instinct,V
Mystique,Brotherhood,Covert,Tech,Instinct,Covert,V
Namor,Cabal,Instinct,Strength,Instinct/Strength,Strength,SW1
Namora,Champions,Range,Covert,Range [Strength],Covert,WWH
Nerkkod,Foes of Asgard,Strength,Covert,Range,Instinct,FI
Nick Fury,SHIELD,Tech,Covert,Strength,Tech,B
Nightcrawler,X-Men,Instinct,Covert,Instinct,Covert,DC
"No-Name, Brood Queen",Warbound,Covert,Covert,Strength [Covert],Instinct,WWH
Nova,Champions,Strength,Range,Range,Range,C
Nul,Foes of Asgard,Strength,Instinct,Strength,Strength,FI
Old Man Logan,X-Men,Instinct,Covert/Instinct,Instinct,Instinct,SW1
Patriot,Avengers,Instinct,Strength,Covert/Tech,Tech,CW
Peter Parker,Avengers,Tech,Instinct,Instinct/Tech,Instinct,CW
"Peter Parker, Homecoming",Spider Friends,Instinct,Covert,Tech,Strength,SH
Peters Allies,Spider Friends,Covert,Covert,Instinct,Covert,SH
Phoenix,X-Men,Strength,Range,Covert,Strength,XM
Phoenix Force Cyclops,X-Men,Covert,Range,Instinct/Range,Range,SW2
Polaris,X-Men,Range,Covert,Covert,Covert,XM
Professor X,X-Men,Range,Instinct,Range,Covert,DC
Proxima Midnight,Cabal,Instinct,Covert/Instinct,Covert,Instinct,SW1
Psylocke,X-Men,Instinct,Covert,Covert,Instinct,XM
Punisher,Marvel Knights,Tech,Tech,Strength,Tech,DC
Rick Jones,SHIELD,Tech,Instinct [Range],Tech [Strength],Covert [Range],WWH
Rocket Raccoon,Guardians,Tech,Range,Instinct,Tech,GotG
Rogue,X-Men,Covert,Strength,Covert,Strength,B
Ruby Summers,X-Men,Range,Range/Strength,Strength,Range,SW2
Sabretooth,Brotherhood,Instinct,Instinct,Covert,Strength,V
Scarlet Spider,Spider Friends,Tech,Strength,Covert,Strength,PtTR
Sentry,Avengers,Covert [Strength],Strength,Range [Covert],Range,WWH
Shang-Chi,Marvel Knights,Instinct,Covert/Instinct,Covert,Instinct,SW2
She-Hulk,Avengers,Strength,Instinct [Strength],Strength,Strength,WWH
Silk,Spider Friends,Range,Instinct/Strength,Covert,Tech,SW2
Silver Surfer,None,Strength,Covert,Range,Range,F4
"Skaar, Son of Hulk",Avengers,Strength,Instinct,Instinct [Strength],Strength,WWH
Skadi,Hydra,Tech,Tech,Strength,Covert,FI
Skirn,Foes of Asgard,Instinct,Covert,Range,Strength,FI
Slapstick,Mercs for Money,Range,Range,Strength,Range,DP
Solo,Mercs for Money,Instinct,Tech,Tech,Instinct,DP
Soulsword Colossus,X-Men,Covert,Covert/Strength,Strength,Instinct,SW2
Speedball,New Warriors,Covert,Range,Covert/Range,Range,CW
Spider-Gwen,Spider Friends,Tech,Instinct/Tech,Strength,Covert,SW2
Spider-man,Spider Friends,Instinct,Strength,Tech,Covert,B
Spider-man Noir,Spider Friends,Range,Tech,Instinct,Strength,LN
Spider-woman,Spider Friends,Range,Strength,Range,Covert,PtTR
Squirrel Girl,Avengers,Instinct,Instinct,Covert,Instinct,D
Star-Lord,Guardians,Range,Covert,Tech,Range,GotG
Stature,Avengers,Tech,Strength/Tech,Strength,Strength,CW
"Steve Rogers, Director of SHIELD",SHIELD,Strength,Instinct,Covert,Tech,CA
Stingray,Mercs for Money,Tech,Tech,Range,Tech,DP
Storm,X-Men,Range,Range,Covert,Range,B
Storm & Black Panther,Avengers,Instinct/Range,Instinct/Range,Covert/Range,Tech,CW
Superior Ironman,Illuminati,Tech,Range/Tech,Range,Tech,SW1
Symbiote Spiderman,Spider Friends,Instinct,Strength,Covert,Range,PtTR
Thanos,Cabal,Strength,Range/Strength,Range,Range,SW1
The Captain and the Devil,Avengers,Strength/Tech,Instinct,Covert,Range,SW2
Thing,Fantastic Four,Instinct,Strength,Strength,Strength,F4
Thor,Avengers,Strength,Range,Range,Range,B
Tigra,Avengers,Instinct,Covert/Instinct,Covert,Covert,CW
Time-Traveling Jean Grey,X-Men,Covert,Instinct,Covert/Range,Covert,SW2
Tony Stark,Avengers,Tech,Tech,Range,Range,SH
Totally Awesome Hulk,Champions,Strength,Tech,Strength,Tech,C
Ultimate Spiderman,Spider Friends,Strength,Instinct/Strength,Tech,Covert,SW1
Ultron,None,Tech,Tech,Tech,Tech,V
Venom,Sinister Six,Strength,Instinct,Strength,Instinct,V
Venom,Venomverse,Strength,Instinct,Instinct,Instinct,VNM
Venom Rocket,Venomverse,Instinct,Tech,Range,Tech,VNM
Venomized Dr. Strange,Venomverse,Range,Range,Instinct,Range,VNM
Venompool,Venomverse,Strength,Tech,Instinct,Strength,VNM
Vision,Avengers,Range,Tech,Range/Tech,Tech,CW
Viv Vision,Champions,Tech,Tech,Range,Tech,C
Wasp,Avengers,Covert,Covert,Range,Covert,AM
Wiccan,Avengers,Range,Covert,Covert/Range,Range,CW
Winter Soldier,,Strength,Tech,Covert,Tech,CA
Wolverine,X-Men,Instinct,Instinct,Instinct,Instinct,B
Wolverine,X-Force,Instinct,Covert,Strength,Covert,DC
Wonder Man,Avengers,Strength,Range,Range,Strength,AM
X-23,X-Men,Tech,Instinct,Covert,Instinct,XM
